SenderB, sender@adress.com, max.mueller@mail.com, SubjectB, Body-Text BBBBBBBBB
SenderA, sender@adress.com,  max.mueller@mail.com, SubjectB, Body-Text AAA
SenderC, senderc@adress.com,  max.mueller@mail.com, SubjectB, Body-Text CCCCCCCCCCCCC
SenderC, senderc@adress.com,  max.mueller@mail.com, SubjectB, Body-Text CCCCCCCCCCCCC
SenderC, senderc@adress.com,  max.mueller@mail.com, SubjectB, Body-Text CCCCCCCCCCCCC
SenderC, senderc@adress.com,  max.mueller@mail.com, SubjectB, Body-Text CCCCCCCCCCCCC
SenderD, senderd@adress.com,  max.mueller@mail.com, SubjectB, Body-Text DDDDDDDDDDDDD
SenderE1, sendere@adress.com,  fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE
SenderE2, sendere@adress.com,  fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE1
SenderE2, sendere@adress.com,  fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE1
SenderE2, sendere@adress.com,  fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE1
