true, Mail{senderName='Frank Hinkel', senderMail='frank.hinkel@innoq.com', recipientMail='max.mueller@mail.com', subject='Subject1', body='Body-Text Text Text Text'}
true, Mail{senderName='SenderB', senderMail='sender@adress.com', recipientMail='max.mueller@mail.com', subject='SubjectB', body='Body-Text BBBBBBBBB'}
true, Mail{senderName='SenderA', senderMail='sender@adress.com', recipientMail='max.mueller@mail.com', subject='SubjectB', body='Body-Text AAA'}
true, Mail{senderName='SenderC', senderMail='senderc@adress.com', recipientMail='max.mueller@mail.com', subject='SubjectB', body='Body-Text CCCCCCCCCCCCC'}
true, Mail{senderName='SenderD', senderMail='senderd@adress.com', recipientMail='max.mueller@mail.com', subject='SubjectB', body='Body-Text DDDDDDDDDDDDD'}
true, Mail{senderName='SenderE13', senderMail='sendere@adress.com', recipientMail='dieter.immerda@mail.com', subject='SubjectB', body='Body-Text PPPPPPPP6'}
true, Mail{senderName='SenderE14', senderMail='sendere@adress.com', recipientMail='dieter.immerda@mail.com', subject='SubjectB', body='Body-Text PPPPPPPP6'}
true, Mail{senderName='SenderE1', senderMail='sendere@adress.com', recipientMail='dieter.immerda@mail.com', subject='SubjectB', body='Body-Text PPPPPPPP6'}
true, Mail{senderName='Frank Hinkel', senderMail='frank.hinkel@innoq.com', recipientMail='max.mueller@mail.com', subject='Subject1', body='Body-Text Text Text Text'}
true, Mail{senderName='SenderB', senderMail='sender@adress.com', recipientMail='max.mueller@mail.com', subject='SubjectB', body='Body-Text BBBBBBBBB'}
true, Mail{senderName='SenderA', senderMail='sender@adress.com', recipientMail='max.mueller@mail.com', subject='SubjectB', body='Body-Text AAA'}
true, Mail{senderName='SenderC', senderMail='senderc@adress.com', recipientMail='max.mueller@mail.com', subject='SubjectB', body='Body-Text CCCCCCCCCCCCC'}
true, Mail{senderName='SenderD', senderMail='senderd@adress.com', recipientMail='max.mueller@mail.com', subject='SubjectB', body='Body-Text DDDDDDDDDDDDD'}
true, Mail{senderName='SenderE13', senderMail='sendere@adress.com', recipientMail='dieter.immerda@mail.com', subject='SubjectB', body='Body-Text PPPPPPPP6'}
true, Mail{senderName='SenderE14', senderMail='sendere@adress.com', recipientMail='dieter.immerda@mail.com', subject='SubjectB', body='Body-Text PPPPPPPP6'}
true, Mail{senderName='SenderE1', senderMail='sendere@adress.com', recipientMail='dieter.immerda@mail.com', subject='SubjectB', body='Body-Text PPPPPPPP6'}
true, Mail{senderName='Frank Hinkel', senderMail='frank.hinkel@innoq.com', recipientMail='max.mueller@mail.com', subject='Subject1', body='Body-Text Text Text Text'}
