Frank Hinkel, frank.hinkel@innoq.com, fritz.froh@mail.com, Subject1, Body-Text Text Text Text
SenderE1, sendere@adress.com, fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE
SenderE2, sendere@adress.com, fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE1
SenderE3, sendere@adress.com, fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE2
SenderE4, sendere@adress.com, fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE3
SenderE5, sendere@adress.com, fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE4
SenderE6, sendere@adress.com, fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE5
Frank Hinkel, frank.hinkel@innoq.com, fritz.froh@mail.com, Subject1, Body-Text Text Text Text
SenderE1, sendere@adress.com, fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE
SenderE2, sendere@adress.com, fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE1
SenderE3, sendere@adress.com, fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE2
SenderE4, sendere@adress.com, fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE3
SenderE5, sendere@adress.com, fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE4
SenderE6, sendere@adress.com, fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE5
