Frank Hinkel, frank.hinkel@innoq.com, max.mueller@mail.com, Subject1, Body-Text Text Text Text
SenderB, sender@adress.com, max.mueller@mail.com, SubjectB, Body-Text BBBBBBBBB
SenderA, sender@adress.com, max.mueller@mail.com, SubjectB, Body-Text AAA
SenderC, senderc@adress.com, max.mueller@mail.com, SubjectB, Body-Text CCCCCCCCCCCCC
SenderD, senderd@adress.com, max.mueller@mail.com, SubjectB, Body-Text DDDDDDDDDDDDD
SenderE13, sendere@adress.com, dieter.immerda@mail.com, SubjectB, Body-Text PPPPPPPP6
SenderE14, sendere@adress.com, dieter.immerda@mail.com, SubjectB, Body-Text PPPPPPPP6
SenderE1, sendere@adress.com, dieter.immerda@mail.com, SubjectB, Body-Text PPPPPPPP6
Frank Hinkel, frank.hinkel@innoq.com, max.mueller@mail.com, Subject1, Body-Text Text Text Text
SenderB, sender@adress.com, max.mueller@mail.com, SubjectB, Body-Text BBBBBBBBB
SenderA, sender@adress.com, max.mueller@mail.com, SubjectB, Body-Text AAA
SenderC, senderc@adress.com, max.mueller@mail.com, SubjectB, Body-Text CCCCCCCCCCCCC
SenderD, senderd@adress.com, max.mueller@mail.com, SubjectB, Body-Text DDDDDDDDDDDDD
SenderE13, sendere@adress.com, dieter.immerda@mail.com, SubjectB, Body-Text PPPPPPPP6
SenderE14, sendere@adress.com, dieter.immerda@mail.com, SubjectB, Body-Text PPPPPPPP6
SenderE1, sendere@adress.com, dieter.immerda@mail.com, SubjectB, Body-Text PPPPPPPP6
