Frank Hinkel, frank.hinkel@innoq.com, max.mueller@mail.com, Subject1, Body-Text Text Text Text
Frank Hinkel, frank.hinkel@innoq.com, andi.arbeit@mail.com, Subject1, Body-Text Text Text Text
Frank Hinkel, frank.hinkel@innoq.com, fritz.froh@mail.com, Subject1, Body-Text Text Text Text
Frank Hinkel, frank.hinkel@innoq.com, unknown@mail.com, Subject1, Body-Text Text Text Text
SenderB, sender@adress.com, max.mueller@mail.com, SubjectB, Body-Text BBBBBBBBB
SenderA, sender@adress.com, max.mueller@mail.com, SubjectB, Body-Text AAA
SenderC, senderc@adress.com, max.mueller@mail.com, SubjectB, Body-Text CCCCCCCCCCCCC
SenderD, senderd@adress.com, max.mueller@mail.com, SubjectB, Body-Text DDDDDDDDDDDDD
SenderE1, sendere@adress.com, fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE
SenderE2, sendere@adress.com, fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE1
SenderE3, sendere@adress.com, fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE2
SenderE4, sendere@adress.com, fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE3
SenderE5, sendere@adress.com, fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE4
SenderE6, sendere@adress.com, fritz.froh@mail.com, SubjectB, Body-Text EEEEEEEEE5
SenderE7, sendere@adress.com, andi.arbeit@mail.com, SubjectB, Body-Text PPPPPPPP1
SenderE8, sendere@adress.com, andi.arbeit@mail.com, SubjectB, Body-Text PPPPPPPP2
SenderE9, sendere@adress.com, andi.arbeit@mail.com, SubjectB, Body-Text PPPPPPPP3
SenderE10, sendere@adress.com, andi.arbeit@mail.com, SubjectB, Body-Text PPPPPPPP4
SenderE11, sendere@adress.com, andi.arbeit@mail.com, SubjectB, Body-Text PPPPPPPP5
SenderE12, sendere@adress.com, andi.arbeit@mail.com, SubjectB, Body-Text PPPPPPPP6
